"time__raw","series__raw"
"1977-01",1487588
"1977-02",1237719
"1977-03",1450395
"1977-04",1609159
"1977-05",1724392
"1977-06",1906396
"1977-07",2373334
"1977-08",2372987
"1977-09",2010979
"1977-10",1806198
"1977-11",1454126
"1977-12",1647415
"1978-01",1610669
"1978-02",1354608
"1978-03",1754176
"1978-04",1733544
"1978-05",1942570
"1978-06",2198429
"1978-07",2718260
"1978-08",2710884
"1978-09",2241586
"1978-10",1929316
"1978-11",1614560
"1978-12",1781091
"1979-01",1774076
"1979-02",1561256
"1979-03",1900097
"1979-04",2067610
"1979-05",2111298
"1979-06",2523993
"1979-07",2943282
"1979-08",3104669
"1979-09",2444994
"1979-10",2166730
"1979-11",1747559
"1979-12",1826169
"1980-01",1782353
"1980-02",1625842
"1980-03",1925574
"1980-04",1915541
"1980-05",2076528
"1980-06",2530712
"1980-07",2890151
"1980-08",3101750
"1980-09",2284811
"1980-10",2072839
"1980-11",1772565
"1980-12",2014192
"1981-01",1953167
"1981-02",1633905
"1981-03",1870412
"1981-04",2072486
"1981-05",2219113
"1981-06",2408134
"1981-07",2767347
"1981-08",2770687
"1981-09",2276942
"1981-10",2108528
"1981-11",1775732
"1981-12",1885940
"1982-01",1881405
"1982-02",1671732
"1982-03",1945402
"1982-04",2119827
"1982-05",2217477
"1982-06",2506696
"1982-07",2933162
"1982-08",2959380
"1982-09",2324646
"1982-10",2106557
"1982-11",1739354
"1982-12",1936329
"1983-01",2084139
"1983-02",1695926
"1983-03",2110844
"1983-04",2072557
"1983-05",2260183
"1983-06",2625551
"1983-07",3045987
"1983-08",3062160
"1983-09",2487794
"1983-10",2294018
"1983-11",1847896
"1983-12",1952973
"1984-01",1941779
"1984-02",1766849
"1984-03",2154037
"1984-04",2295627
"1984-05",2560742
"1984-06",2834238
"1984-07",3150703
"1984-08",3245530
"1984-09",2739615
"1984-10",2372463
"1984-11",2044930
"1984-12",2107732
"1985-01",2207086
"1985-02",1902787
"1985-03",2207788
"1985-04",2276810
"1985-05",2529317
"1985-06",2821543
"1985-07",3038012
"1985-08",3098434
"1985-09",2343303
"1985-10",2131151
"1985-11",1823366
"1985-12",2065594
"1986-01",2029305
"1986-02",1744403
"1986-03",2196312
"1986-04",2072426
"1986-05",2058952
"1986-06",2373194
"1986-07",2818689
"1986-08",3131884
"1986-09",2322148
"1986-10",2093923
"1986-11",1891615
"1986-12",2031907
"1987-01",2051960
"1987-02",1851269
"1987-03",2305824
"1987-04",2382792
"1987-05",2533529
"1987-06",2769991
"1987-07",3242593
"1987-08",3414397
"1987-09",2602304
"1987-10",2389250
"1987-11",2010071
"1987-12",2176865
"1988-01",2192010
"1988-02",1957857
"1988-03",2397190
"1988-04",2449663
"1988-05",2570983
"1988-06",2895614
"1988-07",3428600
"1988-08",3379891
"1988-09",2599740
"1988-10",2387060
"1988-11",2008527
"1988-12",2087475
"1989-01",2076723
"1989-02",1756939
"1989-03",2287242
"1989-04",2285707
"1989-05",2499703
"1989-06",2772499
"1989-07",3119466
"1989-08",3241904
"1989-09",2605180
"1989-10",2388449
"1989-11",2065063
"1989-12",2138011
"1990-01",2119091
"1990-02",1843797
"1990-03",2232491
"1990-04",2327802
"1990-05",2459820
"1990-06",2788556
"1990-07",3145690
"1990-08",3353241
"1990-09",2565252
"1990-10",2275176
"1990-11",1879355
"1990-12",2040172
"1991-01",1897528
"1991-02",1414320
"1991-03",1852923
"1991-04",2026028
"1991-05",2226279
"1991-06",2476462
"1991-07",2810627
"1991-08",3076883
"1991-09",2205742
"1991-10",2083499
"1991-11",1705227
"1991-12",1926920
"1992-01",1844861
"1992-02",1697135
"1992-03",2094368
"1992-04",2139625
"1992-05",2296760
"1992-06",2620931
"1992-07",3017345
"1992-08",3248998
"1992-09",2479753
"1992-10",2307826
"1992-11",1935995
"1992-12",2040549
"1993-01",1991486
"1993-02",1656385
"1993-03",1977575
"1993-04",2060801
"1993-05",2190596
"1993-06",2404391
"1993-07",2866807
"1993-08",3043124
"1993-09",2351971
"1993-10",2251498
"1993-11",1954793
"1993-12",2112618
"1994-01",1993042
"1994-02",1608734
"1994-03",2165332
"1994-04",2144061
"1994-05",2323394
"1994-06",2714862
"1994-07",3191782
"1994-08",3314500
"1994-09",2614723
"1994-10",2437824
"1994-11",2143030
"1994-12",2229900
"1995-01",2148141
"1995-02",1779909
"1995-03",2258064
"1995-04",2422847
"1995-05",2453553
"1995-06",2769177
"1995-07",3243100
"1995-08",3404143
"1995-09",2737805
"1995-10",2596808
"1995-11",2244701
"1995-12",2322025
"1996-01",2063353
"1996-02",1958314
"1996-03",2472343
"1996-04",2435105
"1996-05",2617167
"1996-06",2896682
"1996-07",3269018
"1996-08",3441595
"1996-09",2684385
"1996-10",2593753
"1996-11",2239187
"1996-12",2484452
"1997-01",2238277
"1997-02",1956363
"1997-03",2500718
"1997-04",2429460
"1997-05",2603959
"1997-06",2831334
"1997-07",3244966
"1997-08",3458134
"1997-09",2708643
"1997-10",2590679
"1997-11",2323346
"1997-12",2471340
"1998-01",2325866
"1998-02",2059424
"1998-03",2464590
"1998-04",2521022
"1998-05",2658392
"1998-06",2840126
"1998-07",3123132
"1998-08",3300421
"1998-09",2672039
"1998-10",2470268
"1998-11",2216710
"1998-12",2406903
"1999-01",2221026
"1999-02",1940449
"1999-03",2587600
"1999-04",2513051
"1999-05",2586190
"1999-06",2959859
"1999-07",3265863
"1999-08",3396228
"1999-09",2692932
"1999-10",2700187
"1999-11",2486329
"1999-12",2358215
"2000-01",2221910
"2000-02",2112365
"2000-03",2660577
"2000-04",2747955
"2000-05",2810190
"2000-06",3009971
"2000-07",3324662
"2000-08",3418492
"2000-09",2773322
"2000-10",2707406
"2000-11",2529566
"2000-12",2511104
"2001-01",2321686
"2001-02",2085349
"2001-03",2570368
"2001-04",2708867
"2001-05",2685555
"2001-06",2924036
"2001-07",3250882
"2001-08",3408881
"2001-09",1870571
"2001-10",1728335
"2001-11",1729776
"2001-12",2026740
"2002-01",2017115
"2002-02",1870895
"2002-03",2436851
"2002-04",2324078
"2002-05",2432696
"2002-06",2671555
"2002-07",3009093
"2002-08",3219483
"2002-09",2465361
"2002-10",2479107
"2002-11",2315599
"2002-12",2696355
"2003-01",2457070
"2003-02",2106359
"2003-03",2470182
"2003-04",2353790
"2003-05",2426504
"2003-06",2728936
"2003-07",3195327
"2003-08",3319859
"2003-09",2557664
"2003-10",2640770
"2003-11",2552796
"2003-12",2927234
"2004-01",2665954
"2004-02",2509779
"2004-03",2966915
"2004-04",3118133
"2004-05",3034531
"2004-06",3324925
"2004-07",3775720
"2004-08",3907091
"2004-09",3036368
"2004-10",3062758
"2004-11",2989078
"2004-12",3183239
"2005-01",3037983
"2005-02",2758552
"2005-03",3488802
"2005-04",3382056
"2005-05",3500367
"2005-06",3630810
"2005-07",4146051
"2005-08",4108341
"2005-09",3229538
"2005-10",3125845
"2005-11",3190388
"2005-12",3293178
"2006-01",3094700
"2006-02",2722498
"2006-03",3434962
"2006-04",3544267
"2006-05",3420089
"2006-06",3753481
"2006-07",4210807
"2006-08",4220900
"2006-09",3434444
"2006-10",3568908
"2006-11",3484448
"2006-12",3739378
"2007-01",3489004
"2007-02",3007257
"2007-03",3915492
"2007-04",4032447
"2007-05",4099820
"2007-06",4375225
"2007-07",4655003
"2007-08",4735348
"2007-09",3839225
"2007-10",3884935
"2007-11",3770190
"2007-12",3913870
"2008-01",3590126
"2008-02",3268228
"2008-03",4068719
"2008-04",3943887
"2008-05",4163946
"2008-06",4336036
"2008-07",4769732
"2008-08",4820485
"2008-09",3726962
"2008-10",3811476
"2008-11",3501737
"2008-12",3801782
"2009-01",3362945
"2009-02",3003610
"2009-03",3654594
"2009-04",3825614
"2009-05",3908798
"2009-06",4113916
"2009-07",4594578
"2009-08",4691343
"2009-09",3763901
"2009-10",3801069
"2009-11",3437770
"2009-12",3719804
"2010-01",3345769
"2010-02",2881474
"2010-03",3666012
"2010-04",3624713
"2010-05",3932920
"2010-06",4282071
"2010-07",4687045
"2010-08",4718586
"2010-09",3933255
"2010-10",4013193
"2010-11",3745653
"2010-12",3690195
"2011-01",3396238
"2011-02",2984436
"2011-03",3854583
"2011-04",3969048
"2011-05",4182902
"2011-06",4345932
"2011-07",4823893
"2011-08",4539900
"2011-09",4032192
"2011-10",3996774
"2011-11",3696617
"2011-12",3822082
"2012-01",3522705
"2012-02",3239977
"2012-03",4054413
"2012-04",4131110
"2012-05",4196869
"2012-06",4522449
"2012-07",4909743
"2012-08",4986731
"2012-09",4134934
"2012-10",3844052
"2012-11",3738653
"2012-12",3992540
"2013-01",3726946
"2013-02",3182700
"2013-03",4167173
"2013-04",3964978
"2013-05",4323261
"2013-06",4596311
"2013-07",4968173
"2013-08",5088447
"2013-09",4210409
"2013-10",4209188
"2013-11",3717622
"2013-12",4295150
"2014-01",3732908
"2014-02",3240578
"2014-03",4134490
"2014-04",4410994
"2014-05",4688566
"2014-06",4838571
"2014-07",5232463
"2014-08",5477187
"2014-09",4541012
"2014-10",4513281
"2014-11",3960179
"2014-12",4447521
"2015-01",3952123
"2015-02",3525008
"2015-03",4417086
"2015-04",4634132
"2015-05",4965684
"2015-06",5153820
"2015-07",5647863
"2015-08",5809724
"2015-09",4782097
"2015-10",4900066
"2015-11",4342058
"2015-12",4697493
